Book Name,Author,Rating,Customers_Rated,Price
"PW Physics Med Easy Notes | Notes, Formulas, Mnemonics, Tips & Tricks for NEET/JEE & Board Exams | MR Sir Physics Handwritten Notes",Dr. Manish Raj (MR. Sir),5.0 out of 5 stars,Dr. Manish Raj (MR. Sir),0
Atomic Habits,James Clear,4.6 out of 5 stars,"84,532",0
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"72,955",0
The Psychology Of Money,Morgan Housel,4.6 out of 5 stars,"54,735",0
Shrimad Bhagwat Geeta Yatharoop,A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"17,294",0
Don't Believe Everything You Think (English),Joseph Nguyen,4.6 out of 5 stars,"2,737",0
"NTA UGC NET /SET/JRF Paper 1, Teaching and Research Aptitude – 2023, Includes latest 2022 paper and 2600+ Practice Questions with Solutions | Includes NEP - 2020| 7th Edition - By Pearson",KVS Madaan,4.4 out of 5 stars,KVS Madaan,0
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"77,986",0
Ikigai,Francesc Miralles,4.6 out of 5 stars,"50,611",0
Indian Polity for UPSC (English| 7th Edition) |Civil Services Exam| State Administrative Exams,M Laxmikanth,4.5 out of 5 stars,449,0
My First Book of Patterns Pencil Control: Practice Patterns (Pattern Writing),Wonder House Books,4.4 out of 5 stars,"25,759",0
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.4 out of 5 stars,"4,373",0
Rich Dad Poor Dad: 25th Anniversary Edit,Robert T. Kiyosaki,4.5 out of 5 stars,"25,788",0
Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,4.8 out of 5 stars,A. C. Bhaktivedanta Swami Prabhupad,0
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,4.4 out of 5 stars,"7,526",0
Colouring Books for Kids (Pack of 12 Books),Wonder House Books,4.5 out of 5 stars,"3,848",0
BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil K.R. Gupta,4.5 out of 5 stars,Nikhil K.R. Gupta,0
