Book Name,Author,Rating,Customers_Rated,Href
"
Oliver Twist
",Charles Dickens,3.8,"377,403",https://www.goodreads.com/book/show/18254.Oliver_Twist
"
The Hunchback of Notre-Dame
",Victor Hugo,4.0,"196,172",https://www.goodreads.com/book/show/30597.The_Hunchback_of_Notre_Dame
"
The Fall of the House of Usher
",Edgar Allan Poe,3.9,"59,081 ",https://www.goodreads.com/book/show/175516.The_Fall_of_the_House_of_Usher
"
Frankenstein
",Mary Wollstonecraft Shelley,3.8,"1,517,6",https://www.goodreads.com/book/show/801675.Frankenstein
"
The Red and the Black
",Stendhal,3.8,"72,470 ",https://www.goodreads.com/book/show/14662.The_Red_and_the_Black
"
The Little Mermaid
",Hans Christian Andersen,3.9,"26,620 ",https://www.goodreads.com/book/show/132391.The_Little_Mermaid
"
Eugene Onegin
",Alexander Pushkin,4.1,"62,315 ",https://www.goodreads.com/book/show/27822.Eugene_Onegin
"
The Pickwick Papers
",Charles Dickens,3.8,"28,998 ",https://www.goodreads.com/book/show/229432.The_Pickwick_Papers
"
Père Goriot
",Honoré de Balzac,3.8,"57,156 ",https://www.goodreads.com/book/show/59145.P_re_Goriot
"
Nicholas Nickleby
",Charles Dickens,3.9,"44,016 ",https://www.goodreads.com/book/show/325085.Nicholas_Nickleby
"
The Charterhouse of Parma
",Stendhal,3.8,"17,637 ",https://www.goodreads.com/book/show/14680.The_Charterhouse_of_Parma
"
The Lady of Shalott
",Alfred Tennyson,4.1,"18,981 ",https://www.goodreads.com/book/show/724371.The_Lady_of_Shalott
"
Voyage of the Beagle
",Charles Darwin,4.0,"7,603 r",https://www.goodreads.com/book/show/183645.Voyage_of_the_Beagle
"
The Queen of Spades and Other Stories
",Alexander Pushkin,4.1,"8,611 r",https://www.goodreads.com/book/show/97381.The_Queen_of_Spades_and_Other_Stories
"
Faust
",Johann Wolfgang von Goethe,3.9,"45,498 ",https://www.goodreads.com/book/show/406373.Faust
"
The Captain's Daughter
",Alexander Pushkin,3.8,"21,666 ",https://www.goodreads.com/book/show/604578.The_Captain_s_Daughter
"
The Nose
",Catherine Cowan,3.9,"13,946 ",https://www.goodreads.com/book/show/19106.The_Nose
"
The Complete Fairy Tales
",Hans Christian Andersen,4.2,"106,606",https://www.goodreads.com/book/show/46306.The_Complete_Fairy_Tales
"
Lost Illusions
",Honoré de Balzac,4.1,"10,772 ",https://www.goodreads.com/book/show/25932.Lost_Illusions
"
Twice-Told Tales
",Nathaniel Hawthorne,3.8,"2,927 r",https://www.goodreads.com/book/show/47061.Twice_Told_Tales
"
Eugénie Grandet
",Honoré de Balzac,3.7,"22,404 ",https://www.goodreads.com/book/show/59142.Eug_nie_Grandet
"
Taras Bulba
",Nikolai Gogol,3.7,"12,247 ",https://www.goodreads.com/book/show/104696.Taras_Bulba
"
The Book of Mormon: Another Testament of Jesus Christ
",Joseph Smith Jr.,4.2,"84,657 ",https://www.goodreads.com/book/show/323355.The_Book_of_Mormon
"
The Narrative of Arthur Gordon Pym of Nantucket and Related Tales
",Edgar Allan Poe,3.6,"2,872 r",https://www.goodreads.com/book/show/70925.The_Narrative_of_Arthur_Gordon_Pym_of_Nantucket_and_Related_Tales
"
Tales of the Alhambra
",Washington Irving,3.7,"4,530 r",https://www.goodreads.com/book/show/403733.Tales_of_the_Alhambra
"
The Queen of Spades
",Alexander Pushkin,3.9,"12,137 ",https://www.goodreads.com/book/show/279614.The_Queen_of_Spades
"
Woyzeck
",Georg Büchner,3.0,"17,133 ",https://www.goodreads.com/book/show/571938.Woyzeck
"
The Kalevala
",Elias Lönnrot,4.0,"5,355 r",https://www.goodreads.com/book/show/400869.The_Kalevala
"
The Unknown Masterpiece
",Honoré de Balzac,3.8,"5,231 r",https://www.goodreads.com/book/show/817790.The_Unknown_Masterpiece
"
The Narrative of Arthur Gordon Pym of Nantucket
",Edgar Allan Poe,3.5,"11,659 ",https://www.goodreads.com/book/show/766869.The_Narrative_of_Arthur_Gordon_Pym_of_Nantucket
"
Ligeia
",Edgar Allan Poe,3.7,"5,555 r",https://www.goodreads.com/book/show/419520.Ligeia
"
Selected Poems
",Lord Byron,4.0,"14,234 ",https://www.goodreads.com/book/show/119239.Selected_Poems
"
The Wild Ass's Skin
",Honoré de Balzac,3.7,"8,963 r",https://www.goodreads.com/book/show/99742.The_Wild_Ass_s_Skin
"
Indiana
",George Sand,3.5,"2,931 r",https://www.goodreads.com/book/show/104260.Indiana
"
Faust, Part Two
",Johann Wolfgang von Goethe,3.6,"6,352 r",https://www.goodreads.com/book/show/14707.Faust_Part_Two
"
Lenz
",Georg Büchner,3.6,"2,707 r",https://www.goodreads.com/book/show/287510.Lenz
"
Diary of a Madman and Other Stories
",Nikolai Gogol,4.0,"11,917 ",https://www.goodreads.com/book/show/28382.Diary_of_a_Madman_and_Other_Stories
"
Nature
",Ralph Waldo Emerson,3.7,"5,353 r",https://www.goodreads.com/book/show/3420140-nature
"
The Little Tragedies
",Alexander Pushkin,4.3,"2,763 r",https://www.goodreads.com/book/show/111732.The_Little_Tragedies
"
Dantons Tod
",Georg Büchner,3.3,"3,197 r",https://www.goodreads.com/book/show/1870638.Dantons_Tod
"
The Collected Tales of Nikolai Gogol
",Nikolai Gogol,4.3,"14,578 ",https://www.goodreads.com/book/show/252981.The_Collected_Tales_of_Nikolai_Gogol
"
The Inspector General
",Nikolai Gogol,3.9,"15,929 ",https://www.goodreads.com/book/show/142262.The_Inspector_General
"
The Complete Poetry
",Edgar Allan Poe,4.2,"15,403 ",https://www.goodreads.com/book/show/73445.The_Complete_Poetry
"
The Country Doctor
",Honoré de Balzac,3.6,624 rat,https://www.goodreads.com/book/show/2366229.The_Country_Doctor
"
Сказка о царе Салтане
",Alexander Pushkin,4.2,"7,994 r",https://www.goodreads.com/book/show/23268842
"
Sketches by Boz
",Charles Dickens,3.7,"1,408 r",https://www.goodreads.com/book/show/18936679-sketches-by-boz
"
Pan Tadeusz
",Adam Mickiewicz,3.0,"16,165 ",https://www.goodreads.com/book/show/881508.Pan_Tadeusz
"
Manuscript Found in a Bottle
",Edgar Allan Poe,3.2,"3,127 r",https://www.goodreads.com/book/show/2183890.Manuscript_Found_in_a_Bottle
"
Berenice
",Edgar Allan Poe,3.7,"5,535 r",https://www.goodreads.com/book/show/1396182.Berenice
"
The Unparalleled Adventure of One Hans Pfaall
",Edgar Allan Poe,3.0,"1,203 r",https://www.goodreads.com/book/show/3336787-the-unparalleled-adventure-of-one-hans-pfaall
"
William Wilson
",Edgar Allan Poe,3.8,"3,927 r",https://www.goodreads.com/book/show/6798492-william-wilson
"
The Assignation
",Edgar Allan Poe,3.0,937 rat,https://www.goodreads.com/book/show/3336817-the-assignation
"
The French Revolution: A History
",Thomas Carlyle,3.8,957 rat,https://www.goodreads.com/book/show/318236.The_French_Revolution
"
Münchhausen: Eine Geschichte in Arabesken
",Karl Immermann,3.7,13 rati,https://www.goodreads.com/book/show/8403507-m-nchhausen
